condition1,condition2,tech_proficiency,online_plat_freq,va_freq,openness_recom,music_freq,music_enjoy,suggestiveness,reason,soa,competence,engagement,attitude,satisfaction
0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.5,2.5
0.0,0.0,3.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
0.0,0.0,4.0,5.0,4.0,2.0,5.0,5.0,3.5,3.5,2.0,1.7,1.7,2.0,2.0
0.0,0.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,2.5,1.0,2.3,2.7,2.0,1.0
0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.3,4.0,4.0,3.0,4.0
0.0,0.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,2.5,3.0,3.7,3.3,3.5,4.0
0.0,0.0,5.0,5.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,3.3,3.7,3.0,4.0
0.0,0.0,4.0,5.0,4.0,4.0,4.0,5.0,2.5,2.0,2.0,3.3,2.3,3.0,3.0
0.0,0.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.5,4.0,3.7,3.7,4.0,4.0
0.0,0.0,4.0,5.0,1.0,4.0,4.0,5.0,3.0,2.0,4.0,3.7,3.7,2.0,4.0
0.0,0.0,4.0,5.0,4.0,5.0,5.0,5.0,3.5,3.0,3.7,4.7,2.7,4.0,4.0
0.0,0.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,2.5,2.7,4.7,4.7,4.0,3.5
0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,1.0,1.5,1.3,1.3,1.3,1.5,1.0
0.0,0.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,2.5,3.3,3.3,2.7,3.5,3.5
0.0,0.0,3.0,5.0,4.0,4.0,5.0,4.0,2.5,2.5,2.7,2.7,2.7,2.5,2.0
0.0,0.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,3.5,3.0
0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.3,3.7,3.3,3.5,3.5
0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0
0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.3,2.0,1.5
0.0,0.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,2.5,2.0,3.7,4.0,3.5,3.5
0.0,0.0,3.0,3.0,1.0,1.0,4.0,5.0,2.0,2.0,3.3,2.0,2.7,3.0,2.0
0.0,0.0,4.0,5.0,3.0,4.0,5.0,5.0,2.5,2.5,3.3,3.3,3.7,4.0,3.5
0.0,0.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.7,4.0,4.0,4.5
0.0,0.0,5.0,5.0,1.0,4.0,5.0,5.0,1.5,1.0,1.0,1.0,2.3,1.5,2.0
0.0,0.0,5.0,5.0,2.0,5.0,5.0,5.0,3.5,3.5,3.7,3.7,3.3,3.0,3.5
0.0,0.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,1.5,1.3,2.0,2.0,1.0,2.0
0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4.7,4.7,3.7,4.5,4.5
0.0,0.0,3.0,4.0,1.0,2.0,4.0,4.0,1.5,2.0,1.3,1.3,1.3,2.0,1.5
0.0,0.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.5,4.0,3.3,2.7,3.0,3.0
0.0,0.0,5.0,5.0,2.0,1.0,4.0,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.7,1.7,2.0,2.5,3.0
0.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.3,3.3,4.0,4.0,4.0
0.0,1.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.5,3.7,2.7,3.7,4.0,3.0
0.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.5,3.7,4.0,4.3,5.0,5.0
0.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,4.5,2.5,2.0,2.3,3.0,4.0,4.0
0.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,2.3,3.7,1.5,3.5
0.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.5,4.0,3.7,4.3,4.0,5.0,5.0
0.0,1.0,3.0,5.0,2.0,4.0,5.0,4.0,3.5,4.0,2.0,3.7,4.0,4.0,3.5
0.0,1.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,3.5,2.0,3.0,3.0,2.5,4.0
0.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,2.0,3.0,1.7,1.7,1.7,1.5,1.5
0.0,1.0,5.0,4.0,3.0,1.0,4.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0
0.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.5,3.3,4.3,3.0,3.5,4.0
0.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0
0.0,1.0,3.0,5.0,4.0,2.0,4.0,5.0,2.5,3.5,2.0,3.3,4.0,3.5,3.0
0.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,1.5
0.0,1.0,5.0,5.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,3.3,3.0,2.5,3.0
0.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.7,4.7,4.3,4.0,4.0
0.0,1.0,4.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0
0.0,1.0,5.0,5.0,3.0,2.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,2.5,2.0
0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,3.3,3.0,3.0,3.0
0.0,1.0,5.0,5.0,3.0,4.0,5.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
0.0,1.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0
0.0,1.0,5.0,5.0,1.0,4.0,5.0,5.0,3.5,4.5,2.0,2.7,3.7,3.0,3.0
0.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,1.0,3.5,1.0,1.0,1.7,1.0,1.0
0.0,1.0,5.0,5.0,4.0,3.0,4.0,5.0,2.5,3.5,3.7,3.3,2.3,3.0,4.0
0.0,1.0,3.0,5.0,2.0,3.0,5.0,5.0,1.0,1.0,1.7,1.0,1.0,1.0,1.0
0.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.3,4.3,5.0,3.5,5.0
0.0,1.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,3.5,2.0,2.0,3.0,2.0,2.0
0.0,1.0,4.0,5.0,2.0,2.0,5.0,5.0,3.5,2.5,2.7,3.3,3.7,4.0,3.5
0.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,3.5,2.0,3.0,2.0,2.5,2.0
0.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,1.5,3.5,1.3,1.0,2.3,1.0,1.0
0.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5,3.0,2.0,2.3,2.0,3.0,2.5
0.0,1.0,3.0,5.0,2.0,3.0,5.0,4.0,1.0,2.5,2.0,2.3,1.7,1.5,3.0
0.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,2.5,2.0,2.0,2.0,2.7,2.5,2.0
0.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,2.0,4.0,3.0,2.0,5.0,4.0,2.5,3.0,3.7,3.3,3.0,3.5,3.5
0.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.3,2.3,2.0,2.5,3.5
0.0,1.0,5.0,5.0,4.0,5.0,4.0,3.0,3.5,3.5,2.0,3.7,3.7,3.5,4.0
0.0,1.0,3.0,5.0,4.0,3.0,5.0,5.0,2.5,3.5,3.3,3.3,3.3,2.0,4.0
0.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.5,4.3,5.0,4.0,4.5,5.0
0.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.7,3.3,3.5,3.5
0.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.5,4.7,4.3,4.3,3.5,4.5
0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,3.7,4.3,4.3,3.5,4.5
0.0,1.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.5,3.7,4.3,4.7,4.0,4.0
0.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.0,1.0,2.0,5.0,2.0,2.0,5.0,5.0,2.0,4.0,2.0,2.7,2.7,2.0,2.5
0.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.0,1.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,3.5,3.7,4.0,5.0,3.5,5.0
0.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,3.3,3.3,3.3,3.0,4.0
0.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.3,4.3,4.0,4.5
0.0,1.0,2.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
0.0,1.0,2.0,5.0,2.0,4.0,5.0,5.0,3.5,4.0,2.7,3.7,2.7,5.0,5.0
0.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,4.5,3.5,2.0,3.3,4.0,2.5,3.0
0.0,1.0,4.0,5.0,3.0,5.0,4.0,5.0,3.5,4.0,2.3,4.0,4.0,4.0,4.0
0.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.7,4.0,3.0,3.5
0.0,1.0,4.0,5.0,2.0,2.0,5.0,5.0,1.5,2.5,1.3,1.0,1.0,2.0,1.5
0.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.5,3.3,4.0,4.3,3.5,3.0
0.0,1.0,5.0,5.0,4.0,2.0,5.0,5.0,2.0,4.0,2.7,2.0,1.7,3.0,2.0
0.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,2.5,3.5,1.0,3.0,2.0,1.0,2.0
0.0,1.0,4.0,3.0,5.0,3.0,5.0,5.0,2.5,2.0,2.0,2.3,2.0,2.5,2.0
0.0,1.0,4.0,5.0,2.0,2.0,4.0,5.0,1.0,1.0,1.7,1.7,1.0,2.0,1.0
0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.5,1.0,1.7,1.7,2.0,1.0
0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,2.5,1.0,3.0,1.7,1.0,2.0,2.0
0.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,3.5,3.5,2.7,3.0,3.7,3.0,2.5
0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0
0.0,1.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,3.5,2.0,2.3,2.3,3.0,3.0
0.0,1.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.7,4.0,4.0,4.0
0.0,1.0,4.0,5.0,2.0,2.0,5.0,5.0,2.5,3.5,3.3,2.7,2.3,2.5,4.0
1.0,0.0,3.0,5.0,1.0,3.0,5.0,4.0,4.0,3.0,2.3,3.7,2.3,2.5,2.5
1.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,2.5,2.5,3.0,3.7,3.0,2.5,2.0
1.0,0.0,4.0,5.0,1.0,1.0,5.0,5.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,3.7,3.5,5.0
1.0,0.0,2.0,5.0,1.0,2.0,5.0,4.0,2.5,2.5,2.7,3.3,3.7,3.0,3.0
1.0,0.0,3.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
1.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,2.7,1.0,1.3,2.0,1.5
1.0,0.0,3.0,5.0,4.0,4.0,5.0,5.0,3.5,2.5,3.3,3.3,3.0,2.5,3.0
1.0,0.0,4.0,5.0,2.0,4.0,4.0,5.0,4.5,1.5,4.7,3.0,2.0,3.0,4.0
1.0,0.0,4.0,5.0,4.0,4.0,4.0,5.0,3.5,2.5,2.3,3.3,3.3,3.0,3.5
1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.3,4.3,4.3,5.0,4.0
1.0,0.0,3.0,5.0,1.0,2.0,5.0,4.0,2.0,2.0,1.7,1.7,2.0,2.0,2.0
1.0,0.0,4.0,5.0,2.0,3.0,5.0,4.0,3.0,2.5,4.0,3.0,2.3,2.0,2.5
1.0,0.0,3.0,5.0,2.0,3.0,5.0,5.0,3.5,2.5,3.0,3.3,3.0,2.5,3.0
1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,3.5,2.0,2.0,2.7,3.7,2.5,3.0
1.0,0.0,4.0,5.0,4.0,4.0,5.0,5.0,4.5,2.5,3.7,4.0,4.0,3.0,4.0
1.0,0.0,4.0,5.0,4.0,5.0,5.0,5.0,4.5,3.5,3.0,4.3,4.3,3.5,4.5
1.0,0.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.3,3.0,2.0,3.0
1.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,3.7,3.0,3.0
1.0,0.0,5.0,5.0,2.0,4.0,4.0,5.0,2.0,2.0,1.3,2.7,1.3,1.5,2.0
1.0,0.0,3.0,4.0,3.0,3.0,4.0,4.0,3.5,2.0,2.0,3.0,3.3,2.5,3.0
1.0,0.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,2.0,2.3,3.3,3.0,3.5,3.0
1.0,0.0,5.0,5.0,2.0,5.0,5.0,5.0,4.5,2.0,3.3,4.0,4.0,4.0,3.5
1.0,0.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,2.3,2.3,2.7,2.0,2.0
1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,4.5,4.7,4.7,4.3,5.0,5.0
1.0,0.0,3.0,5.0,5.0,3.0,5.0,5.0,2.5,2.0,2.3,2.7,1.7,3.0,2.5
1.0,0.0,2.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,3.3,3.0,3.5
1.0,0.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.3,4.0,4.3,4.0,3.5
1.0,0.0,4.0,4.0,2.0,5.0,5.0,4.0,3.5,2.0,2.0,2.3,3.7,4.0,4.0
1.0,0.0,3.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,2.3,4.0,4.0,4.0,4.0
1.0,0.0,3.0,5.0,1.0,4.0,5.0,5.0,4.5,2.0,4.0,3.7,3.7,3.0,4.0
1.0,0.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,2.5,2.7,3.3,4.0,3.0,3.5
1.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.5,2.3,3.3,3.0,3.5,4.0
1.0,0.0,4.0,5.0,4.0,4.0,4.0,4.0,2.5,2.0,2.0,3.3,3.0,2.5,2.5
1.0,0.0,4.0,4.0,2.0,2.0,5.0,5.0,1.5,2.0,2.0,2.0,3.0,2.0,2.0
1.0,0.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,1.3,3.3,2.3,3.0,2.0
1.0,0.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,1.7,1.7,2.0,2.0,1.0
1.0,0.0,2.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,3.0,5.0,2.0,5.0,4.0,4.0,1.5,1.0,1.0,1.0,1.3,1.5,1.5
1.0,0.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0
1.0,0.0,5.0,3.0,4.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.7,5.0,5.0
1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,1.0,3.0,2.7,3.3,2.5,3.0
1.0,0.0,4.0,5.0,1.0,4.0,5.0,5.0,3.0,1.0,2.0,2.0,1.7,1.5,1.0
1.0,0.0,4.0,5.0,2.0,1.0,4.0,4.0,1.0,1.0,1.7,2.0,1.0,1.0,1.0
1.0,0.0,3.0,5.0,3.0,4.0,5.0,5.0,3.5,2.5,3.3,3.3,3.7,3.5,3.0
1.0,0.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0,3.0,3.3,3.3,2.5,3.0
1.0,0.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.7,2.7,2.7,2.0,3.0
1.0,0.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0
1.0,0.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,2.5,2.3,3.3,3.7,2.5,2.0
1.0,0.0,3.0,5.0,2.0,1.0,5.0,5.0,2.0,1.5,1.0,1.0,1.0,1.0,1.0
1.0,0.0,2.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,2.3,4.0,4.0,3.5,3.0
1.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,3.5,2.0,2.3,2.0,2.0,2.0,2.0
1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,4.5,1.0,3.3,2.7,2.7,2.0,2.0
1.0,0.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.3,2.5,3.0
1.0,0.0,2.0,3.0,3.0,2.0,4.0,5.0,2.5,2.0,2.0,2.0,1.3,1.0,2.0
1.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,2.5,1.0,1.7,2.0,1.0,3.0,2.0
1.0,0.0,4.0,5.0,2.0,3.0,5.0,5.0,3.5,4.5,5.0,5.0,3.7,2.5,4.0
1.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,3.5,2.0,3.3,3.3,3.7,3.5,4.0
1.0,0.0,2.0,3.0,1.0,4.0,4.0,5.0,3.0,2.5,2.0,2.0,2.7,2.5,2.0
1.0,0.0,5.0,4.0,2.0,2.0,5.0,4.0,3.5,1.0,2.3,2.3,2.3,1.5,1.0
1.0,0.0,4.0,5.0,1.0,5.0,5.0,5.0,4.5,3.5,2.3,3.7,4.0,3.0,5.0
1.0,0.0,4.0,5.0,4.0,2.0,5.0,5.0,3.5,1.0,2.7,4.0,3.0,3.5,4.0
1.0,0.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,1.0,2.0,2.7,2.0,2.0,2.0
1.0,0.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.3,4.0,3.0,4.0
1.0,0.0,3.0,5.0,1.0,4.0,4.0,5.0,5.0,2.0,3.7,4.0,4.3,3.5,4.0
1.0,0.0,3.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,1.3,1.0,2.0
1.0,0.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,1.5,3.7,3.7,3.3,3.0,4.0
1.0,0.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
1.0,0.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0,1.0,1.0,1.3,2.7,1.5,1.0
1.0,0.0,5.0,5.0,2.0,3.0,5.0,5.0,3.0,1.0,1.0,1.7,1.0,1.0,1.0
1.0,0.0,4.0,5.0,2.0,4.0,5.0,5.0,3.5,1.0,1.3,1.3,1.7,1.0,1.5
1.0,0.0,4.0,5.0,3.0,5.0,4.0,4.0,2.5,1.0,1.0,1.7,1.3,1.0,1.0
1.0,0.0,4.0,5.0,3.0,5.0,5.0,5.0,2.5,2.5,4.0,4.0,4.3,4.0,4.0
1.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,1.5,1.0,1.7,3.3,3.5,2.0
1.0,1.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,2.5,3.0,3.3,2.7,3.0,3.5
1.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,3.5,2.0,2.3,2.0,3.0,2.0,2.0
1.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.3,4.3,4.0,4.0,4.0
1.0,1.0,4.0,4.0,4.0,2.0,5.0,5.0,3.5,4.0,4.0,3.7,4.0,3.0,4.0
1.0,1.0,4.0,5.0,2.0,3.0,5.0,5.0,4.5,4.5,2.0,2.0,2.3,2.5,2.0
1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.7,3.3,3.0,4.0
1.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.5,4.3,5.0,4.7,5.0,4.5
1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,2.7,4.0,3.7,3.0,4.0
1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1.0,1.0,1.0,1.0,1.0
1.0,1.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,2.5,2.3,4.0,4.0,4.0,4.0
1.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,3.5,2.0,3.3,3.3,3.0,2.0,3.0
1.0,1.0,3.0,5.0,2.0,4.0,5.0,5.0,4.5,3.0,4.0,3.7,4.0,3.0,4.0
1.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.7,4.0,4.7,4.0,4.0
1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
1.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,4.5,3.0,2.0,4.0,4.3,3.5,3.0
1.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,3.5,2.5,1.0,2.3,1.7,1.5,2.0
